Network,Switches,Controllers,Orig Avg SCL,Disturbed Controllers,Disturbed Switches,DDFO Avg SCL,DDFO Time,DDFO Reassgn,Full Avg SCL,Full Time,Full Reassgn
Latnet,69,9,1.139,2,14,1.101,120.564391,14,1.065,490.763581,63
Latnet,69,9,1.139,2,24,1.082,293.601665,24,1.115,438.955778,66
Latnet,69,9,1.139,2,19,1.125,267.090743,19,1.2,131.04594,68
Latnet,69,9,1.139,2,15,1.125,149.887104,15,1.048,482.282778,65
Latnet,69,9,1.139,2,20,1.084,287.167778,20,1.236,205.48218,67
Latnet,69,9,1.139,2,10,1.072,58.603624,10,1.128,453.29497,66
Latnet,69,9,1.139,2,13,1.208,104.367504,13,1.143,430.774464,68
Latnet,69,9,1.139,2,23,1.138,285.653335,23,1.047,481.831162,66
Latnet,69,9,1.139,2,14,1.164,110.191321,14,1.109,437.609159,69
Latnet,69,9,1.139,2,20,1.124,254.445531,20,1.043,450.799904,65
Latnet,69,9,1.139,2,15,1.143,113.382743,15,1.141,432.435107,66
Latnet,69,9,1.139,2,18,1.147,174.262841,18,1.108,461.583794,64
Latnet,69,9,1.139,2,19,1.116,270.232567,19,1.017,525.268313,62
Latnet,69,9,1.139,2,15,1.125,153.77607,15,1.146,442.249174,65
Latnet,69,9,1.139,2,13,1.208,102.754573,13,1.099,456.729056,69
Latnet,69,9,1.139,2,8,1.196,20.31892,8,1.119,423.474049,65
Latnet,69,9,1.139,2,16,1.208,136.623645,16,1.241,98.793169,64
Latnet,69,9,1.139,2,12,1.107,83.469319,12,1.093,446.273204,66
Latnet,69,9,1.139,2,17,1.108,172.920025,17,1.085,478.827118,63
Latnet,69,9,1.139,2,10,1.072,67.822595,10,1.13,442.169472,64
Latnet,69,9,1.139,2,21,1.093,262.839642,21,1.093,504.892136,62
Latnet,69,9,1.139,2,20,1.112,161.511858,20,1.141,463.845231,63
Latnet,69,9,1.139,2,12,1.084,82.766907,12,1.107,464.409089,65
Latnet,69,9,1.139,2,12,1.107,87.146585,12,1.056,452.973924,62
Latnet,69,9,1.139,2,16,1.084,143.425951,16,1.07,490.781055,68
Latnet,69,9,1.139,2,16,1.106,154.064456,16,1.049,458.58547,65
Latnet,69,9,1.139,2,16,1.208,151.251198,16,1.107,483.151538,67
Latnet,69,9,1.139,2,23,1.133,283.921374,23,1.168,85.595204,65
Latnet,69,9,1.139,2,14,1.101,140.218875,14,1.008,483.079641,68
Latnet,69,9,1.139,2,19,1.125,284.692096,19,1.101,481.787523,66
Latnet,69,9,1.139,2,17,1.134,211.642555,17,1.083,503.02711,63
Latnet,69,9,1.139,2,20,1.124,248.233253,20,1.148,442.623573,64
Latnet,69,9,1.139,2,14,1.076,124.782793,14,1.1,457.548424,66
Latnet,69,9,1.139,2,20,1.079,287.966805,20,1.269,150.429283,64
Latnet,69,9,1.139,2,8,1.196,23.29576,8,1.074,482.77831,63
Latnet,69,9,1.139,2,23,1.133,300.815248,23,1.069,444.446335,64
Latnet,69,9,1.139,2,16,1.208,269.187009,16,1.045,453.290107,64
Latnet,69,9,1.139,2,16,1.093,230.471451,16,1.024,489.977307,64
Latnet,69,9,1.139,2,23,1.138,288.850149,23,1.073,501.627961,64
Latnet,69,9,1.139,2,10,1.156,39.864721,10,1.02,496.368312,60
Latnet,69,9,1.139,2,20,1.079,295.69151,20,1.066,486.230966,66
Latnet,69,9,1.139,2,8,1.126,14.604705,8,1.102,459.36379,65
Latnet,69,9,1.139,2,18,1.147,207.915576,18,1.05,474.795375,64
Latnet,69,9,1.139,2,14,1.162,116.116852,14,1.036,465.67176,66
Latnet,69,9,1.139,2,6,1.125,3.622953,6,1.121,449.981649,69
Latnet,69,9,1.139,2,17,1.134,160.315913,17,1.266,104.164588,65
Latnet,69,9,1.139,2,21,1.11,297.805769,21,1.106,444.138944,69
Latnet,69,9,1.139,2,15,1.143,128.983153,15,1.124,469.346473,65
Latnet,69,9,1.139,2,19,1.126,283.92823,19,1.105,471.441996,68
Latnet,69,9,1.139,2,8,1.196,23.792059,8,1.121,425.536998,59
Latnet,69,9,1.139,2,20,1.112,203.885369,20,1.043,473.192472,66
Latnet,69,9,1.139,2,10,1.072,76.96998,10,1.062,475.005023,62
Latnet,69,9,1.139,2,14,1.131,155.681776,14,1.136,433.34616,69
Latnet,69,9,1.139,2,12,1.084,128.473178,12,1.034,518.618867,68
